loco_type,loco_traction,loco_description,loco_length,loco_hauling_power,loco_axle_load,loco_axle_unit,loco_gauge_code,Permanant domain
BSTEM,S,B STEM,5.878,135,15.5,T,4,MIXED
DEMU,D,DIESEL ELECTRICAL MULTIPLE UNIT,22.7,1400,18.7,T,1,PASSENGER
NDM1,D,NARROW DIESEL MIX,9.248,290,29.3,T,4,MIXED
NDM1A,D,NARROW DIESEL MIX,9.248,290,29.3,T,4,MIXED
NDM5,D,NARROW DIESEL MIX,8.8,490,22,T,4,MIXED
NDM6,D,NARROW DIESEL MIX,5.848,400,17.5,T,4,MIXED
WAG10,E,BG AC GD SERVICE,38.262,10000,21.5,T,1,GOODS
WAG11,E,BROAD GAUGE AC GOODS TWIN CO-CO,42.48,12000,21,T,1,GOODS
WAG12B,E,12000HP AC ELECTRIC LOCOMOTIVE,38.262,12000,22.5,T,1,GOODS
WAG5,E,BROAD G UAGE AC GOODS SERVICE,19.974,3850,19.8,T,1,GOODS
WAG5H,E,MODIFIED BROAD GUAGE AC GOODS SERVICE,19.974,3850,19.8,T,1,GOODS
WAG5P,E,MODIFIED BROAD GAUGE AC GOODS SERVICE,19.974,3850,19.8,T,1,GOODS
WAG6,E,MODIFIED BROAD GUAGE AC GOODS SERVICE,19.1,,20.5,T,1,GOODS
WAG7,E,BROAD GAUGE AC GOODS SERVICE,20.39,5000,20.5,T,1,GOODS
WAG9,E,BROAD GAUGE AC GOODS SERVICE,20.56,6120,20.5,T,1,GOODS
WAG9C,E,BC AC GD SERVICE WITH CONV. BRAKE RIGING,20.562,6120,20.5,T,1,GOODS
WAG9H,E,FREIGHT/GOODS,20.562,6120,22.5,T,1,GOODS
WAG9HC,E,BC AC GD SRV W CONV.BRK RIGING W.H.AXL L,20.562,6120,22.5,T,1,GOODS
WAG9HH,E,BC AC GD SERVICE WITH HIGH AXLE LOAD,20.562,9000,22.5,T,1,GOODS
WAGC3,E,BC AC GD SERVICE,38.262,10000,20.5,T,1,GOODS
WAM4,E,BROAD GAUGE AC MIX. SERVICE,19.97,3640,18.8,T,1,MIXED
WAP1,E,BROAD GAUGE AC PASSENGER SERVICE,18.79,3800,18.5,T,1,PASSENGER
WAP4,E,BROAD GAUGE AC PASSENGER SERVICE,18.79,5000,18.8,T,1,PASSENGER
WAP5,E,BROAD GAUGE AC PASSENGER SERVICE,18.16,5440,19.5,T,1,PASSENGER
WAP7,E,BROAD GAUGE AC PASSENGER SERVICE,,,20.5,T,1,PASSENGER
WCAG1,E,BROAD GAUGE DC-AC GOODS SERVICE,20.95,5000,21.3,T,1,GOODS
WCAM1,E,BROAD GAUGE DC-AC MIX. SERVICE,20.95,3640,18.2,T,1,MIXED
WCAM2,E,BROAD GAUGE DC-AC MIX. SERVICE,20.98,4715,18.2,T,1,MIXED
WCAM3,E,BROAD GAUGE DC-AC MIX. SERVICE,20.98,5000,18.8,T,1,MIXED
WCM6,E,BROAD GAUGE ELECTRIC (DC) MIX SERVICE,20.39,4600,20,T,1,MIXED
WDG2,D,BROAD GUAGE DIESEL GOODS SERVICE,19.15,3100,20.5,T,1,GOODS
WDG2A,D,BROAD GUAGE DIESEL GOODS SERVICE,19.15,3100,20.5,T,1,GOODS
WDG3,D,BROAD GAUGE,,,20.5,T,1,GOODS
WDG3A,D,BROAD GAUGE (PLAIN BEARING),,,20.5,T,1,GOODS
WDG3AR,D,BROAD GAUGE (ROLLER BEARING),,3100,20.5,T,1,GOODS
WDG4,D,BROAD GAUGE DIESEL GOODS SERVICE,21.3,4000,21,T,1,GOODS
WDG4D,D,FREIGHT/GOODS,23,4500,21.7,T,1,GOODS
WDG4G,D,BROAD GAUGE DIESEL GOODS SERVICE,21.26,4500,22,T,1,GOODS
WDG5,D,BROAD GAUGE DIESEL GOODS SERVICE,23.3,5500,22.3,T,1,GOODS
WDG6G,D,6000HP AC DIESEL-ELECTRIC LOCOMOTIVE,22.319,6000,23,T,1,GOODS
WDM1,D,BROAD GAUGE DIESEL MIX. SERVICE,18.05,1800,18.5,T,1,MIXED
WDM2,D,BG DIESEL MIX. SERVICE (UNMODIFIED),17.12,2636,18.8,T,1,MIXED
WDM2A,D,MODIFIED BROAD GUAGE DIESEL MIX SERVICE,17.12,2636,18.8,T,1,MIXED
WDM2B,D,MODIFIED BROAD GUAGE DIESEL MIX SERVICE,17.12,2790,18.8,T,1,MIXED
WDM2C,D,MODIFIED BROADGUAGE AC PASSENGER SERVICE,17.12,2636,18.8,T,1,MIXED
WDM2M,D,BG DIESEL MIX. SERVICE (MODIFIED),17.12,2636,18.8,T,1,MIXED
WDM2S,D,MODIFIED BROADGUAGE AC PASSENGER SERVICE,,2636,18.8,T,1,MIXED
WDM3,D,MODIFIED BROADGUAGE AC PASSENGERSERVICE,17.12,2636,18.8,T,1,MIXED
WDM3A,D,MODIFIED BROADGUAGE MIXED SERVICE,17.12,2636,18.8,T,1,MIXED
WDM3B,D,MODIFIED BROADGUAGE MIXED SERVICE,17.12,2636,18.8,T,1,MIXED
WDM3C,D,BG DIESEL MIX. SERVICE,,,18.8,T,1,MIXED
WDM3D,D,MIX SERVICE,18.63,3152,19.5,T,1,MIXED
WDM4,D,BROAD GAUGE DIESEL MIX. SERVICE,18.54,2600,18.8,T,1,MIXED
WDM6,D,BG DIESEL MIX. SERVICE,,,17.5,T,1,MIXED
WDM7,D,BROAD GAUGE DIESEL MIX. SERVICE,16.21,1855,16,T,1,MIXED
WDP1,D,BROAD GUAGE DIESEL PASSENGER SERVICE,14.93,2300,20,T,1,PASSENGER
WDP2,D,MODIFIED BROAD GUAGE DIESEL PASSENGER SE,14.93,3100,117,T,1,PASSENGER
WDP3A,D,MODIFIED BROAD GUAGE DIESEL PASSENGER SE,14.93,3100,19.5,T,1,PASSENGER
WDP4,D,BROAD GUAGE DIESEL PASSENGER SERVICE,,,19.5,T,1,PASSENGER
WDP4B,D,BROAD GAUGE DIESEL PASSENGER SERVICE,19.964,4500,20.2,T,1,PASSENGER
WDP4D,D,BROADGUAGE DIESEL PESSENGER LOCOMOTIVE,23,4500,20.5,T,1,PASSENGER
WDS4,D,BROAD GUAGE DIESEL SHUNTING SERVICE,11,600,20,T,1,SHUNTING
WDS4A,D,MODIFIED BG DIESEL SHUNTING SERVICE,11,660,20,T,1,SHUNTING
WDS4B,D,BROAD GAUGE DIESEL SHUNTING SERVICE,11,700,20,T,1,SHUNTING
WDS4C,D,MODIFIED BG DIESEL SHUNTING SERVICE,11,700,20,T,1,SHUNTING
WDS4D,D,BROAD GAUGE DIESEL SHUNTING SERVICE,11,700,20,T,1,SHUNTING
WDS5,D,BROAD GAUGE DIESEL SHUNTING SERVICE,16.52,1065,21,T,1,SHUNTING
WDS6,D,BROAD GAUGE DIESEL SHUNTING SERVICE,15.29,1400,21,T,1,SHUNTING
YDM1,D,METER GAUGE DIESEL MIX. SERVICE,12.02,,11,T,2,MIXED
YDM2,D,METER GAUGE DIESEL MIX. SERVICE,12.39,,12,T,2,MIXED
YDM4,D,METER GAUGE DIESEL MIX. SERVICE,15.21,,12,T,2,MIXED
YDM4A,D,METER GAUGE DIESEL MIX. SERVICE,15.21,1400,12,T,2,MIXED
ZDM3,D,NARROW DIESEL MIX,10.3,700,9.25,T,4,MIXED
ZDM3A,D,NARROW DIESEL MIX,,,9.25,T,4,MIXED
ZDM3B,D,NARROW DIESEL MIX,,,9.25,T,4,MIXED
ZDM4,D,NARROW DIESEL MIX,11.262,700,40,T,4,MIXED
ZDM4A,D,NARROW DIESEL MIX,,,39,T,4,MIXED
ZDM5,D,NARROW GAUGE DIESEL MIX. SERVICE,9.75,,40,T,4,MIXED
WAG5T,E,BROAD GAUGE AC GOODS SERVICE,,,18.8,T,,GOODS
WAM4P,E,BROAD GAUGE AC MIX. SERVICE,,,18.8,T,,MIXED
WDP3,D,BROAD GUAGE DIESEL PASSENGER SERVICE,,,19.5,T,,PASSENGER
WDM2G,D,BROAD GUAGE DIESEL MIXED SERVICE,,2400,18.8,T,,MIXED
